,0,1,7,2024,25
,1,1,7,2024,23
,2,1,7,2024,16
,3,1,7,2024,23
,4,1,7,2024,23
,5,1,7,2024,30
,6,1,7,2024,19
,7,1,7,2024,26
662485,8,1,7,2024,9
662507,9,1,7,2024,22
662535,10,1,7,2024,28
662569,11,1,7,2024,34
662604,12,1,7,2024,35
662645,13,1,7,2024,41
662677,14,1,7,2024,32
662711,15,1,7,2024,34
662743,16,1,7,2024,32
662779,17,1,7,2024,36
662813,18,1,7,2024,34
662843,19,1,7,2024,30
662864,20,1,7,2024,21
662896,21,1,7,2024,32
662924,22,1,7,2024,28
,23,1,7,2024,30
662980,0,2,7,2024,26
662987,1,2,7,2024,7
663018,2,2,7,2024,31
,3,2,7,2024,25
,4,2,7,2024,25
663115,5,2,7,2024,47
663126,6,2,7,2024,11
663143,7,2,7,2024,17
,8,2,7,2024,23
663194,9,2,7,2024,28
663213,10,2,7,2024,19
663242,11,2,7,2024,29
663272,12,2,7,2024,30
663303,13,2,7,2024,31
663332,14,2,7,2024,29
