energy,hr,day,month,yr,diff
961966,1,1,9,2025,3
961966,2,1,9,2025,0
961990,3,1,9,2025,24
962001,4,1,9,2025,11
962020,5,1,9,2025,19
962025,6,1,9,2025,5
962080,8,1,9,2025,55
962105,9,1,9,2025,25
962130,10,1,9,2025,25
962150,11,1,9,2025,20
962168,12,1,9,2025,18
962194,13,1,9,2025,26
962215,14,1,9,2025,21
962248,15,1,9,2025,33
962274,16,1,9,2025,26
962306,17,1,9,2025,32
962339,18,1,9,2025,33
962355,19,1,9,2025,16
962396,20,1,9,2025,41
962418,21,1,9,2025,22
962425,22,1,9,2025,7
962449,23,1,9,2025,24
962471,24,1,9,2025,22
962478,1,2,9,2025,7
962505,2,2,9,2025,27
962518,3,2,9,2025,13
962530,4,2,9,2025,12
